GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GetCurrentWeather,com.pactera.gcw.common,DruidStatViewServlet,3,0,0,0,1,0,1,0,1,0
GetCurrentWeather,com.pactera.gcw.common,SwaggerConfig,0,46,0,0,0,14,0,4,0,4
GetCurrentWeather,com.pactera.gcw.common,DruidStatFilter,3,0,0,0,1,0,1,0,1,0
GetCurrentWeather,com.pactera.gcw.common,MyBatisMapperScannerConfig,0,15,0,0,0,5,0,2,0,2
GetCurrentWeather,com.pactera.gcw.common,DruidDBConfig,3,85,0,0,2,22,0,2,0,2
GetCurrentWeather,com.pactera.gcw.common,WebConfigurer,0,61,0,0,0,17,0,5,0,5
GetCurrentWeather,com.pactera.gcw.common,MyBatisConfig,11,89,0,0,5,20,0,5,0,5
GetCurrentWeather,com.pactera.gcw.common,CitiesInitializer,50,51,2,2,17,15,2,4,0,4
GetCurrentWeather,com.pactera.gcw.controller,GetWeatherController,7,10,0,0,2,3,1,2,1,2
GetCurrentWeather,com.pactera.gcw.controller,CityController,10,28,0,0,2,8,2,4,2,4
GetCurrentWeather,com.pactera.gcw,GetCurrentWeatherApplication,8,7,0,0,3,2,1,2,1,2
GetCurrentWeather,com.pactera.gcw,ServletInitializer,12,0,0,0,2,0,2,0,2,0
GetCurrentWeather,com.pactera.gcw.dao.model,GcwCity,0,17,0,0,0,7,0,5,0,5
GetCurrentWeather,com.pactera.gcw.dao.model,WeatherModel,59,0,0,0,25,0,17,0,17,0
GetCurrentWeather,com.pactera.gcw.dao.model,GcwCityExample.Criteria,0,3,0,0,0,2,0,1,0,1
GetCurrentWeather,com.pactera.gcw.dao.model,GcwCityExample,34,37,1,1,13,12,6,6,5,6
GetCurrentWeather,com.pactera.gcw.dao.model,GcwCityExample.GeneratedCriteria,299,14,9,1,70,4,38,2,33,2
GetCurrentWeather,com.pactera.gcw.dao.model,GcwCityExample.Criterion,89,0,2,0,32,0,14,0,13,0
GetCurrentWeather,com.pactera.gcw.service,GetWeatherService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
GetCurrentWeather,com.pactera.gcw.service,CityService,46,35,6,2,15,10,8,4,4,4
GetCurrentWeather,com.pactera.gcw.service,GetWeatherService,46,76,5,5,13,18,5,4,1,3
